[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 73278, delta_rrun, 73278, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 38393, delta_rrun, 38393, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 64047, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 91720, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1392, delta_vrun, 28668, delta_rrun, 28668, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1392, delta_vrun, 43838, delta_rrun, 25573, prio, 0
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 92362, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 67081, delta_rrun, 67081, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 23196, delta_rrun, 24235, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1562, delta_vrun, 62150, delta_rrun, 64868, prio, 120
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 65028, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 86964, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 65399, prio, 94
[화  5월 18 15:17:05 2021] tgid, 2209, delta_vrun, 342, delta_rrun, 3195, prio, 110
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 58589, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 67786, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 153878, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 66348, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 63485, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 82973, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 75980, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 63521, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 173357, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 94813, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 92146, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 97808, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 96851, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 101014, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 60590, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 72671, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 89320, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 251664, prio, 94
[화  5월 18 15:17:05 2021] tgid, 2209, delta_vrun, 808, delta_rrun, 7535, prio, 110
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 122667, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 153012, prio, 94
[화  5월 18 15:17:05 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 132129, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 102695, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 119517, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 103669, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 158101, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 114919, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 126436, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 137431, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 92339, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 152946, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 96884, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 70513, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 86010, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 92275, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 101776, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 132374, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 127312, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 132906, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 129741, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 141212, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 196168, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 162132, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 94239, prio, 94
[화  5월 18 15:17:06 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 77123, prio, 94
